# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP11_2879,729250,729250,729250,712722.000000,97.730000,NA
Pacuta_HTAC_TP7_1487,Pacuta_HTHC_TP5_1168,729250,729250,729250,712641.500000,97.720000,NA
Pacuta_ATHC_TP1_2977,Pacuta_HTHC_TP4_1169,729250,729250,729250,712607.500000,97.720000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP10_2197,729250,729250,729250,712620.000000,97.720000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP8_2861,729250,729250,729250,712610.000000,97.720000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTHC_TP11_1416,729250,729250,729250,712529.000000,97.710000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTHC_TP5_1168,729250,729250,729250,712549.500000,97.710000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP8_2861,729250,729250,729250,712527.000000,97.710000,NA
Pacuta_ATHC_TP1_2977,Pacuta_HTAC_TP7_1487,729250,729250,729250,712473.000000,97.700000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTAC_TP7_1487,729250,729250,729250,712462.000000,97.700000,NA
Pacuta_ATAC_TP6_1050,Pacuta_HTHC_TP4_1169,729250,729250,729250,712441.500000,97.700000,NA
Pacuta_HTAC_TP7_1487,Pacuta_HTHC_TP4_1169,729250,729250,729250,712385.000000,97.690000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTAC_TP7_1487,729250,729250,729250,712417.500000,97.690000,NA
Pacuta_ATHC_TP1_2977,Pacuta_HTHC_TP5_1168,729250,729250,729250,712357.500000,97.680000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP1_2977,729250,729250,729250,712360.000000,97.680000,NA
Pacuta_HTHC_TP4_1169,Pacuta_HTHC_TP5_1168,729250,729250,729250,712260.000000,97.670000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP1_2977,729250,729250,729250,712265.000000,97.670000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP1_1207,729250,729250,729250,712289.000000,97.670000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTHC_TP11_1416,729250,729250,729250,712214.000000,97.660000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTHC_TP11_1416,729250,729250,729250,712092.500000,97.650000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTHC_TP4_1169,729250,729250,729250,712133.000000,97.650000,NA
Pacuta_ATHC_TP1_2977,Pacuta_ATHC_TP8_2861,729250,729250,729250,712077.000000,97.650000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTAC_TP8_1329,729250,729250,729250,712144.000000,97.650000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTAC_TP3_2026,729250,729250,729250,712090.000000,97.650000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP7_1281,729250,729250,729250,712013.000000,97.640000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTAC_TP5_1303,729250,729250,729250,712049.000000,97.640000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTAC_TP5_1303,729250,729250,729250,711995.000000,97.630000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTAC_TP5_1571,729250,729250,729250,711857.500000,97.620000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP8_2861,729250,729250,729250,711906.000000,97.620000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP3_1219,729250,729250,729250,711860.500000,97.620000,NA
