ind1	ind2	match_perc
Pacuta_ATHC_TP1_2977	Pacuta_ATAC_TP7_1047	97.790000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP7_1281	97.780000
Pacuta_ATHC_TP7_1281	Pacuta_ATAC_TP6_1050	97.780000
Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP7_1487	97.770000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP7_1281	97.770000
Pacuta_ATHC_TP1_2977	Pacuta_HTAC_TP8_1329	97.770000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP1_2977	97.770000
Pacuta_ATHC_TP1_2977	Pacuta_HTAC_TP5_1571	97.770000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP1_2977	97.770000
Pacuta_ATHC_TP8_2861	Pacuta_HTHC_TP5_1168	97.760000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP8_2861	97.760000
Pacuta_ATHC_TP8_2861	Pacuta_HTAC_TP5_1571	97.760000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP8_2861	97.760000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP8_2861	97.760000
Pacuta_ATHC_TP8_2861	Pacuta_ATHC_TP7_1281	97.760000
Pacuta_ATAC_TP6_1050	Pacuta_HTAC_TP7_1487	97.760000
Pacuta_HTAC_TP7_1487	Pacuta_ATAC_TP6_1050	97.760000
Pacuta_HTAC_TP8_1329	Pacuta_HTHC_TP11_1416	97.750000
Pacuta_HTHC_TP11_1416	Pacuta_HTAC_TP8_1329	97.750000
Pacuta_ATHC_TP7_1281	Pacuta_HTHC_TP5_1168	97.740000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP7_1281	97.740000
Pacuta_ATHC_TP1_2977	Pacuta_ATHC_TP7_1281	97.740000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP1_2977	97.740000
Pacuta_ATHC_TP5_2212	Pacuta_HTAC_TP6_1744	97.730000
Pacuta_HTAC_TP6_1744	Pacuta_ATHC_TP5_2212	97.730000
Pacuta_ATAC_TP6_1468	Pacuta_HTAC_TP6_1744	97.730000
Pacuta_HTAC_TP6_1744	Pacuta_ATAC_TP6_1468	97.730000
Pacuta_ATAC_TP6_1050	Pacuta_HTHC_TP5_1168	97.730000
Pacuta_HTHC_TP5_1168	Pacuta_ATAC_TP6_1050	97.730000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP11_2879	97.730000
Pacuta_ATHC_TP11_2879	Pacuta_ATAC_TP6_1050	97.730000
Pacuta_HTAC_TP7_1487	Pacuta_HTHC_TP5_1168	97.720000
Pacuta_HTHC_TP5_1168	Pacuta_HTAC_TP7_1487	97.720000
Pacuta_ATHC_TP1_2977	Pacuta_HTHC_TP4_1169	97.720000
Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP1_2977	97.720000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP10_2197	97.720000
Pacuta_ATHC_TP10_2197	Pacuta_ATAC_TP7_1047	97.720000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP8_2861	97.720000
Pacuta_ATHC_TP8_2861	Pacuta_ATAC_TP6_1050	97.720000
Pacuta_ATHC_TP7_1281	Pacuta_HTHC_TP11_1416	97.710000
Pacuta_HTHC_TP11_1416	Pacuta_ATHC_TP7_1281	97.710000
Pacuta_ATHC_TP11_2879	Pacuta_HTHC_TP5_1168	97.710000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP11_2879	97.710000
Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP8_2861	97.710000
Pacuta_ATHC_TP8_2861	Pacuta_ATHC_TP11_2879	97.710000
Pacuta_ATHC_TP1_2977	Pacuta_HTAC_TP7_1487	97.700000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP1_2977	97.700000
Pacuta_ATHC_TP11_2879	Pacuta_HTAC_TP7_1487	97.700000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP11_2879	97.700000
Pacuta_ATAC_TP6_1050	Pacuta_HTHC_TP4_1169	97.700000
Pacuta_HTHC_TP4_1169	Pacuta_ATAC_TP6_1050	97.700000
Pacuta_HTAC_TP7_1487	Pacuta_HTHC_TP4_1169	97.690000
Pacuta_HTHC_TP4_1169	Pacuta_HTAC_TP7_1487	97.690000
Pacuta_ATHC_TP8_2861	Pacuta_HTAC_TP7_1487	97.690000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP8_2861	97.690000
Pacuta_ATHC_TP1_2977	Pacuta_HTHC_TP5_1168	97.680000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP1_2977	97.680000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP1_2977	97.680000
Pacuta_ATHC_TP1_2977	Pacuta_ATAC_TP6_1050	97.680000
Pacuta_HTHC_TP4_1169	Pacuta_HTHC_TP5_1168	97.670000
Pacuta_HTHC_TP5_1168	Pacuta_HTHC_TP4_1169	97.670000
Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP1_2977	97.670000
Pacuta_ATHC_TP1_2977	Pacuta_ATHC_TP11_2879	97.670000
Pacuta_ATHC_TP10_2197	Pacuta_ATHC_TP1_1207	97.670000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP10_2197	97.670000
Pacuta_ATHC_TP1_1207	Pacuta_HTHC_TP11_1416	97.660000
Pacuta_HTHC_TP11_1416	Pacuta_ATHC_TP1_1207	97.660000
Pacuta_HTAC_TP5_1571	Pacuta_HTHC_TP11_1416	97.650000
Pacuta_HTHC_TP11_1416	Pacuta_HTAC_TP5_1571	97.650000
Pacuta_ATHC_TP8_2861	Pacuta_HTHC_TP4_1169	97.650000
Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP8_2861	97.650000
Pacuta_ATHC_TP1_2977	Pacuta_ATHC_TP8_2861	97.650000
Pacuta_ATHC_TP8_2861	Pacuta_ATHC_TP1_2977	97.650000
Pacuta_ATHC_TP10_2197	Pacuta_HTAC_TP8_1329	97.650000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP10_2197	97.650000
Pacuta_ATAC_TP7_1047	Pacuta_HTAC_TP3_2026	97.650000
Pacuta_HTAC_TP3_2026	Pacuta_ATAC_TP7_1047	97.650000
Pacuta_ATHC_TP10_2197	Pacuta_ATHC_TP7_1281	97.640000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP10_2197	97.640000
Pacuta_ATAC_TP7_1047	Pacuta_HTAC_TP5_1303	97.640000
Pacuta_HTAC_TP5_1303	Pacuta_ATAC_TP7_1047	97.640000
Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP5_1303	97.630000
Pacuta_HTAC_TP5_1303	Pacuta_ATHC_TP1_1207	97.630000
Pacuta_ATHC_TP10_2197	Pacuta_HTAC_TP5_1571	97.620000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP10_2197	97.620000
Pacuta_ATHC_TP10_2197	Pacuta_ATHC_TP8_2861	97.620000
Pacuta_ATHC_TP8_2861	Pacuta_ATHC_TP10_2197	97.620000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP3_1219	97.620000
Pacuta_ATHC_TP3_1219	Pacuta_ATAC_TP7_1047	97.620000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP10_2197	97.620000
Pacuta_ATHC_TP10_2197	Pacuta_ATAC_TP6_1050	97.620000
Pacuta_HTAC_TP5_1303	Pacuta_HTHC_TP5_1168	97.610000
Pacuta_HTHC_TP5_1168	Pacuta_HTAC_TP5_1303	97.610000
Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP3_2026	97.610000
Pacuta_HTAC_TP3_2026	Pacuta_ATHC_TP1_1207	97.610000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP3_1219	97.610000
Pacuta_ATHC_TP3_1219	Pacuta_ATHC_TP1_1207	97.610000
Pacuta_ATHC_TP11_2879	Pacuta_HTHC_TP11_1416	97.610000
Pacuta_HTHC_TP11_1416	Pacuta_ATHC_TP11_2879	97.610000
Pacuta_ATHC_TP10_2197	Pacuta_HTHC_TP5_1168	97.610000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP10_2197	97.610000
Pacuta_ATHC_TP10_2197	Pacuta_ATHC_TP11_2879	97.610000
Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP10_2197	97.610000
Pacuta_ATAC_TP7_1047	Pacuta_HTHC_TP3_2527	97.610000
Pacuta_HTHC_TP3_2527	Pacuta_ATAC_TP7_1047	97.610000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP6_2999	97.610000
Pacuta_ATHC_TP6_2999	Pacuta_ATAC_TP7_1047	97.610000
Pacuta_ATHC_TP8_2861	Pacuta_HTAC_TP5_1303	97.600000
Pacuta_HTAC_TP5_1303	Pacuta_ATHC_TP8_2861	97.600000
Pacuta_ATAC_TP7_1047	Pacuta_HTHC_TP11_1416	97.600000
Pacuta_HTHC_TP11_1416	Pacuta_ATAC_TP7_1047	97.600000
Pacuta_HTAC_TP3_2026	Pacuta_HTHC_TP5_1168	97.590000
Pacuta_HTHC_TP5_1168	Pacuta_HTAC_TP3_2026	97.590000
Pacuta_ATHC_TP1_1207	Pacuta_HTHC_TP3_2527	97.590000
Pacuta_HTHC_TP3_2527	Pacuta_ATHC_TP1_1207	97.590000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP6_2999	97.590000
Pacuta_ATHC_TP6_2999	Pacuta_ATHC_TP1_1207	97.590000
Pacuta_ATHC_TP10_2197	Pacuta_HTAC_TP7_1487	97.590000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP10_2197	97.590000
Pacuta_HTAC_TP3_2026	Pacuta_HTAC_TP5_1571	97.580000
Pacuta_HTAC_TP5_1571	Pacuta_HTAC_TP3_2026	97.580000
Pacuta_ATHC_TP6_2999	Pacuta_HTAC_TP8_1329	97.580000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP6_2999	97.580000
Pacuta_ATHC_TP3_1219	Pacuta_HTHC_TP5_1168	97.580000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP3_1219	97.580000
Pacuta_HTAC_TP5_1303	Pacuta_HTAC_TP8_1329	97.570000
Pacuta_HTAC_TP8_1329	Pacuta_HTAC_TP5_1303	97.570000
Pacuta_HTAC_TP5_1303	Pacuta_HTAC_TP5_1571	97.570000
Pacuta_HTAC_TP5_1571	Pacuta_HTAC_TP5_1303	97.570000
Pacuta_ATHC_TP8_2861	Pacuta_HTAC_TP3_2026	97.570000
Pacuta_HTAC_TP3_2026	Pacuta_ATHC_TP8_2861	97.570000
Pacuta_HTAC_TP3_2026	Pacuta_HTAC_TP8_1329	97.560000
Pacuta_HTAC_TP8_1329	Pacuta_HTAC_TP3_2026	97.560000
Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP3_2026	97.560000
Pacuta_HTAC_TP3_2026	Pacuta_ATHC_TP7_1281	97.560000
Pacuta_ATHC_TP3_1219	Pacuta_HTAC_TP8_1329	97.560000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP3_1219	97.560000
Pacuta_ATHC_TP3_1219	Pacuta_HTAC_TP5_1571	97.560000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP3_1219	97.560000
Pacuta_ATHC_TP3_1219	Pacuta_ATHC_TP8_2861	97.560000
Pacuta_ATHC_TP8_2861	Pacuta_ATHC_TP3_1219	97.560000
Pacuta_ATAC_TP1_1775	Pacuta_ATHC_TP5_2212	97.560000
Pacuta_ATHC_TP5_2212	Pacuta_ATAC_TP1_1775	97.560000
