sample	species	treatment	timepoint	plugid	reef	reef_color	ploidy	ploidy_color	group	group_color
Mcapitata_ATHC_TP5_2986	Mcapitata	ATHC	TP5	2986	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP6_1212	Mcapitata	ATHC	TP6	1212	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP6_2016	Mcapitata	ATHC	TP6	2016	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP6_2555	Mcapitata	ATHC	TP6	2555	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP7_1223	Mcapitata	ATHC	TP7	1223	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP7_2860	Mcapitata	ATHC	TP7	2860	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP7_2875	Mcapitata	ATHC	TP7	2875	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP8_1260	Mcapitata	ATHC	TP8	1260	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP8_2735	Mcapitata	ATHC	TP8	2735	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP8_2753	Mcapitata	ATHC	TP8	2753	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP9_1148	Mcapitata	ATHC	TP9	1148	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP9_2862	Mcapitata	ATHC	TP9	2862	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP9_2995	Mcapitata	ATHC	TP9	2995	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP10_1204	Mcapitata	ATHC	TP10	1204	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP10_2554	Mcapitata	ATHC	TP10	2554	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP10_2737	Mcapitata	ATHC	TP10	2737	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP11_1237	Mcapitata	ATHC	TP11	1237	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP11_2188	Mcapitata	ATHC	TP11	2188	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP11_2756	Mcapitata	ATHC	TP11	2756	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP12_1154	Mcapitata	ATHC	TP12	1154	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP12_2736	Mcapitata	ATHC	TP12	2736	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP12_2990	Mcapitata	ATHC	TP12	2990	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP1_1579	Mcapitata	HTAC	TP1	1579	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP1_2153	Mcapitata	HTAC	TP1	2153	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP1_2183	Mcapitata	HTAC	TP1	2183	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP3_1289	Mcapitata	HTAC	TP3	1289	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP3_1751	Mcapitata	HTAC	TP3	1751	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP3_2021	Mcapitata	HTAC	TP3	2021	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP4_1269	Mcapitata	HTAC	TP4	1269	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP4_1481	Mcapitata	HTAC	TP4	1481	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP4_2000	Mcapitata	HTAC	TP4	2000	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP5_1321	Mcapitata	HTAC	TP5	1321	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP5_1583	Mcapitata	HTAC	TP5	1583	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP5_1997	Mcapitata	HTAC	TP5	1997	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP6_1496	Mcapitata	HTAC	TP6	1496	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP6_1588	Mcapitata	HTAC	TP6	1588	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP6_1705	Mcapitata	HTAC	TP6	1705	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP7_1278	Mcapitata	HTAC	TP7	1278	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP7_1645	Mcapitata	HTAC	TP7	1645	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP7_1722	Mcapitata	HTAC	TP7	1722	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP8_1235	Mcapitata	HTAC	TP8	1235	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP8_2386	Mcapitata	HTAC	TP8	2386	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP8_2410	Mcapitata	HTAC	TP8	2410	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP9_1306	Mcapitata	HTAC	TP9	1306	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP9_1467	Mcapitata	HTAC	TP9	1467	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP9_2412	Mcapitata	HTAC	TP9	2412	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP10_1315	Mcapitata	HTAC	TP10	1315	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP10_1478	Mcapitata	HTAC	TP10	1478	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP10_1754	Mcapitata	HTAC	TP10	1754	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP11_1248	Mcapitata	HTAC	TP11	1248	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP11_1562	Mcapitata	HTAC	TP11	1562	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP12_1632	Mcapitata	HTAC	TP12	1632	HIMB	#b35806	4	#7570b3	Ungrouped	#808080
Mcapitata_HTAC_TP12_1729	Mcapitata	HTAC	TP12	1729	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_HTAC_TP12_2007	Mcapitata	HTAC	TP12	2007	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP1_1145	Mcapitata	HTHC	TP1	1145	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_HTHC_TP1_1323	Mcapitata	HTHC	TP1	1323	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
