SRR7059699	18192284	4566263284	18192284	4566263284	18154159	4188918758	18154159	4421120387
SRR7062295	11986275	3008555025	11986275	3008555025	11946293	2819338992	11946293	2688252514
SRR7062350	11092958	2784332458	11092958	2784332458	11058979	2621193441	11058979	2521450762
SRR7039808	11330475	2843949225	11330475	2843949225	11299049	2638276564	11299049	2519525012
SRR7040514	19809725	4972240975	19809725	4972240975	19746988	4454016441	19746988	4284921882
SRR7041301	17406018	4368910518	17406018	4368910518	17346019	3910584728	17346019	3793969499
SRR7042978	22610220	5675165220	22610220	5675165220	22575423	5263188726	22575423	5498274824
SRR7043704	10956480	2750076480	10956480	2750076480	10930902	2538477311	10930902	2453281791
SRR7055829	16833578	4225228078	16833578	4225228078	16793506	3900235852	16793506	3746037275
SRR7058378	15820281	3970890531	15820281	3970890531	15793551	3693591712	15793551	3584265578
SRR7058566	14598645	3664259895	14598645	3664259895	14549932	3378494646	14549932	3230652773
SRR7058606	21680542	5441816042	21680542	5441816042	21648371	4968269009	21648371	5224092183
SRR7058616	13389995	3360888745	13389995	3360888745	13367004	3092483639	13367004	3243576807
SRR6951423	13059689	3277981939	13059689	3277981939	13037314	3004365973	13037314	3145925692
SRR6951744	18879752	4738817752	18879752	4738817752	18813442	4311445910	18813442	4107578287
SRR6952431	15119431	3794977181	15119431	3794977181	15085451	3434884331	15085451	3632562180
SRR6963586	17192439	4315302189	17192439	4315302189	17157614	3940808607	17157614	3822794691
SRR6963878	21882301	5492457551	21882301	5492457551	21846416	5016122625	21846416	5283434660
SRR6963891	11222227	2816778977	11222227	2816778977	11202623	2592986066	11202623	2720747222
SRR6964364	23442807	5884144557	23442807	5884144557	23395302	5433889433	23395302	5242292517
SRR6986864	24615093	6178388343	24615093	6178388343	24565896	5746930940	24565896	5533050706
SRR6987146	20915430	5249772930	20915430	5249772930	20870817	4773063082	20870817	5046669280
SRR6914609	12967233	3254775483	12967233	3254775483	12925183	2830509588	12925183	2728577603
SRR6914151	12203579	3063098329	12203579	3063098329	12182207	2797438509	12182207	2940323505
SRR6914908	28545207	7164846957	28545207	7164846957	28495380	6503823381	28495380	6284373141
SRR6934388	15051068	3777818068	15051068	3777818068	15018793	3411818159	15018793	3282720421
SRR6934542	14591108	3662368108	14591108	3662368108	14562767	3319560992	14562767	3213450600
SRR6935629	13955092	3502728092	13955092	3502728092	13921830	3171036408	13921830	3353484794
SRR6942678	16152295	4054226045	16152295	4054226045	16109840	3693427658	16109840	3547502888
SRR6942729	13274877	3331994127	13274877	3331994127	13242082	3061387765	13242082	3216489752
SRR7043013	7238891	1816961641	7238891	1816961641	7223574	1677595532	7223574	1764579147
SRR7046161	9852680	2473022680	9852680	2473022680	9835283	2304394411	9835283	2231700189
SRR6881951	3052993	46078039	3052993	62436536	180534	8565597	180534	7726566
SRR6881952	3052954	47680999	3052954	61654202	201038	9502084	201038	8532631
SRR6881953	3082488	47278366	3082488	62613151	189564	8966658	189564	8059834
SRR6906302	3943385	64112991	3943385	83446612	282576	13373712	282576	11661232
SRR6906303	3920597	64842029	3920597	82484304	299228	14134275	299228	12352499
SRR6906304	3851903	61329716	3851903	81813379	258916	12316422	258916	10803378
SRR6906282	4715956	72259690	4715956	94811640	280084	13302899	280084	11770804
SRR6906283	4574116	71556730	4574116	91913741	291427	13753498	291427	12127343
SRR6906284	4562068	72540234	4562068	90984682	309875	14612620	309875	12909327
SRR6906456	5651119	98138445	5651119	120814728	478465	22545039	478465	19384194
SRR6906457	5687519	97320514	5687519	122410257	458903	21641149	458903	18554624
SRR6906458	5794109	96768027	5794109	124289918	426443	20288258	426443	17410926
