ind1	ind2	match_perc
Mcapitata_HTAC_TP10_1478	Mcapitata_ATHC_TP8_1260	86.400000
Mcapitata_HTAC_TP10_1478	Mcapitata_HTHC_TP8_1246	86.390000
Mcapitata_HTHC_TP8_1246	Mcapitata_HTAC_TP10_1478	86.390000
Mcapitata_ATAC_TP4_1609	Mcapitata_ATAC_TP5_1196	86.390000
Mcapitata_ATAC_TP5_1196	Mcapitata_ATAC_TP4_1609	86.390000
Mcapitata_ATHC_TP8_1260	Mcapitata_ATHC_TP9_1148	86.380000
Mcapitata_ATHC_TP9_1148	Mcapitata_ATHC_TP8_1260	86.380000
Mcapitata_ATAC_TP6_1114	Mcapitata_HTAC_TP7_1722	86.370000
Mcapitata_HTAC_TP7_1722	Mcapitata_ATAC_TP6_1114	86.370000
Mcapitata_HTAC_TP5_1321	Mcapitata_HTHC_TP6_1604	86.360000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTAC_TP5_1321	86.360000
Mcapitata_ATHC_TP8_1260	Mcapitata_ATHC_TP8_2735	86.360000
Mcapitata_ATHC_TP8_2735	Mcapitata_ATHC_TP8_1260	86.360000
Mcapitata_HTAC_TP5_1321	Mcapitata_HTHC_TP1_1145	86.330000
Mcapitata_HTHC_TP1_1145	Mcapitata_HTAC_TP5_1321	86.330000
Mcapitata_ATHC_TP10_2737	Mcapitata_HTHC_TP4_1328	86.330000
Mcapitata_HTHC_TP4_1328	Mcapitata_ATHC_TP10_2737	86.330000
Mcapitata_ATAC_TP7_1455	Mcapitata_HTHC_TP5_1694	86.330000
Mcapitata_HTHC_TP5_1694	Mcapitata_ATAC_TP7_1455	86.330000
Mcapitata_ATAC_TP11_1076	Mcapitata_HTHC_TP8_1246	86.330000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATAC_TP11_1076	86.330000
Mcapitata_HTHC_TP3_1277	Mcapitata_HTHC_TP9_1331	86.320000
Mcapitata_HTHC_TP9_1331	Mcapitata_HTHC_TP3_1277	86.320000
Mcapitata_ATHC_TP3_2731	Mcapitata_HTHC_TP8_1246	86.320000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP3_2731	86.320000
Mcapitata_HTAC_TP9_1467	Mcapitata_HTHC_TP6_1604	86.310000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTAC_TP9_1467	86.310000
Mcapitata_ATAC_TP12_1452	Mcapitata_HTHC_TP4_2204	86.310000
Mcapitata_HTHC_TP4_2204	Mcapitata_ATAC_TP12_1452	86.310000
Mcapitata_ATHC_TP10_1204	Mcapitata_ATHC_TP3_1544	86.300000
Mcapitata_ATHC_TP3_1544	Mcapitata_ATHC_TP10_1204	86.300000
Mcapitata_ATAC_TP1_1600	Mcapitata_ATHC_TP5_1706	86.300000
Mcapitata_ATHC_TP5_1706	Mcapitata_ATAC_TP1_1600	86.300000
Mcapitata_ATAC_TP12_1452	Mcapitata_ATHC_TP9_1148	86.300000
Mcapitata_ATHC_TP9_1148	Mcapitata_ATAC_TP12_1452	86.300000
Mcapitata_ATHC_TP8_2735	Mcapitata_HTAC_TP10_1478	86.290000
Mcapitata_HTAC_TP10_1478	Mcapitata_ATHC_TP8_2735	86.290000
Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP5_1321	86.290000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP5_1610	86.290000
Mcapitata_ATAC_TP4_1609	Mcapitata_HTHC_TP6_1604	86.290000
Mcapitata_HTHC_TP6_1604	Mcapitata_ATAC_TP4_1609	86.290000
Mcapitata_HTHC_TP12_2190	Mcapitata_HTHC_TP6_1604	86.270000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTHC_TP12_2190	86.270000
Mcapitata_ATHC_TP10_2737	Mcapitata_HTAC_TP5_1321	86.270000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATHC_TP10_2737	86.270000
Mcapitata_HTAC_TP6_1588	Mcapitata_HTHC_TP10_1074	86.250000
Mcapitata_HTHC_TP10_1074	Mcapitata_HTAC_TP6_1588	86.250000
Mcapitata_HTAC_TP5_1997	Mcapitata_HTAC_TP6_1588	86.250000
Mcapitata_HTAC_TP6_1588	Mcapitata_HTAC_TP5_1997	86.250000
Mcapitata_ATHC_TP8_2735	Mcapitata_HTHC_TP9_1331	86.250000
Mcapitata_HTHC_TP9_1331	Mcapitata_ATHC_TP8_2735	86.250000
Mcapitata_ATHC_TP4_1221	Mcapitata_ATHC_TP5_1229	86.250000
Mcapitata_ATHC_TP5_1229	Mcapitata_ATHC_TP4_1221	86.250000
Mcapitata_ATHC_TP10_1204	Mcapitata_HTAC_TP5_1321	86.250000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATHC_TP10_1204	86.250000
Mcapitata_ATHC_TP9_2995	Mcapitata_HTHC_TP6_1604	86.240000
Mcapitata_HTHC_TP6_1604	Mcapitata_ATHC_TP9_2995	86.240000
Mcapitata_ATHC_TP1_2068	Mcapitata_HTAC_TP1_2153	86.240000
Mcapitata_HTAC_TP1_2153	Mcapitata_ATHC_TP1_2068	86.240000
Mcapitata_HTHC_TP8_1246	Mcapitata_HTHC_TP9_1331	86.230000
Mcapitata_HTHC_TP9_1331	Mcapitata_HTHC_TP8_1246	86.230000
Mcapitata_HTAC_TP5_1321	Mcapitata_HTHC_TP7_2419	86.230000
Mcapitata_HTHC_TP7_2419	Mcapitata_HTAC_TP5_1321	86.230000
Mcapitata_ATHC_TP5_2986	Mcapitata_HTHC_TP6_1604	86.230000
Mcapitata_HTHC_TP6_1604	Mcapitata_ATHC_TP5_2986	86.230000
Mcapitata_ATHC_TP4_2734	Mcapitata_ATHC_TP8_2753	86.230000
Mcapitata_ATHC_TP8_2753	Mcapitata_ATHC_TP4_2734	86.230000
Mcapitata_HTHC_TP3_1277	Mcapitata_HTHC_TP8_1246	86.220000
Mcapitata_HTHC_TP8_1246	Mcapitata_HTHC_TP3_1277	86.220000
Mcapitata_HTHC_TP10_1689	Mcapitata_HTHC_TP3_1277	86.220000
Mcapitata_HTHC_TP3_1277	Mcapitata_HTHC_TP10_1689	86.220000
Mcapitata_ATHC_TP6_1212	Mcapitata_HTHC_TP4_1328	86.220000
Mcapitata_HTHC_TP4_1328	Mcapitata_ATHC_TP6_1212	86.220000
Mcapitata_ATAC_TP6_1114	Mcapitata_ATHC_TP9_1148	86.220000
Mcapitata_ATHC_TP9_1148	Mcapitata_ATAC_TP6_1114	86.220000
Mcapitata_ATAC_TP3_1548	Mcapitata_ATHC_TP9_2995	86.220000
Mcapitata_ATHC_TP9_2995	Mcapitata_ATAC_TP3_1548	86.220000
