# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Mcapitata_ATAC_TP7_1455,Mcapitata_HTHC_TP5_1694,515952,515952,515952,445416.500000,86.330000,NA
Mcapitata_ATAC_TP11_1076,Mcapitata_HTHC_TP8_1246,515952,515952,515952,445434.000000,86.330000,NA
Mcapitata_HTHC_TP3_1277,Mcapitata_HTHC_TP9_1331,515952,515952,515952,445344.500000,86.320000,NA
Mcapitata_ATHC_TP3_2731,Mcapitata_HTHC_TP8_1246,515952,515952,515952,445373.000000,86.320000,NA
Mcapitata_HTAC_TP9_1467,Mcapitata_HTHC_TP6_1604,515952,515952,515952,445322.000000,86.310000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_HTHC_TP4_2204,515952,515952,515952,445335.500000,86.310000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_ATHC_TP3_1544,515952,515952,515952,445262.500000,86.300000,NA
Mcapitata_ATAC_TP1_1600,Mcapitata_ATHC_TP5_1706,515952,515952,515952,445252.000000,86.300000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_ATHC_TP9_1148,515952,515952,515952,445266.500000,86.300000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTAC_TP10_1478,515952,515952,515952,445235.500000,86.290000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTAC_TP5_1321,515952,515952,515952,445194.000000,86.290000,NA
Mcapitata_ATAC_TP4_1609,Mcapitata_HTHC_TP6_1604,515952,515952,515952,445212.000000,86.290000,NA
Mcapitata_HTHC_TP12_2190,Mcapitata_HTHC_TP6_1604,515952,515952,515952,445086.000000,86.270000,NA
Mcapitata_ATHC_TP10_2737,Mcapitata_HTAC_TP5_1321,515952,515952,515952,445098.000000,86.270000,NA
Mcapitata_HTAC_TP6_1588,Mcapitata_HTHC_TP10_1074,515952,515952,515952,444996.000000,86.250000,NA
Mcapitata_HTAC_TP5_1997,Mcapitata_HTAC_TP6_1588,515952,515952,515952,444997.000000,86.250000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTHC_TP9_1331,515952,515952,515952,445015.000000,86.250000,NA
Mcapitata_ATHC_TP4_1221,Mcapitata_ATHC_TP5_1229,515952,515952,515952,445015.000000,86.250000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444988.000000,86.250000,NA
Mcapitata_ATHC_TP9_2995,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444951.000000,86.240000,NA
Mcapitata_ATHC_TP1_2068,Mcapitata_HTAC_TP1_2153,515952,515952,515952,444976.000000,86.240000,NA
Mcapitata_HTHC_TP8_1246,Mcapitata_HTHC_TP9_1331,515952,515952,515952,444916.000000,86.230000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTHC_TP7_2419,515952,515952,515952,444911.500000,86.230000,NA
Mcapitata_ATHC_TP5_2986,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444907.000000,86.230000,NA
Mcapitata_ATHC_TP4_2734,Mcapitata_ATHC_TP8_2753,515952,515952,515952,444925.000000,86.230000,NA
Mcapitata_HTHC_TP3_1277,Mcapitata_HTHC_TP8_1246,515952,515952,515952,444835.000000,86.220000,NA
Mcapitata_HTHC_TP10_1689,Mcapitata_HTHC_TP3_1277,515952,515952,515952,444837.500000,86.220000,NA
Mcapitata_ATHC_TP6_1212,Mcapitata_HTHC_TP4_1328,515952,515952,515952,444872.000000,86.220000,NA
Mcapitata_ATAC_TP6_1114,Mcapitata_ATHC_TP9_1148,515952,515952,515952,444829.500000,86.220000,NA
Mcapitata_ATAC_TP3_1548,Mcapitata_ATHC_TP9_2995,515952,515952,515952,444852.000000,86.220000,NA
Mcapitata_ATAC_TP4_1609,Mcapitata_ATHC_TP10_1204,515952,515952,515952,444754.000000,86.200000,NA
Mcapitata_ATAC_TP1_1037,Mcapitata_HTHC_TP4_2204,515952,515952,515952,444771.500000,86.200000,NA
Mcapitata_HTAC_TP8_2410,Mcapitata_HTHC_TP7_1126,515952,515952,515952,444714.500000,86.190000,NA
