a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
70	120	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP6_1164	1659221	0.857113	0.000015	0.010751	0.109723	0.000004	0.000000	0.000002	0.022387	0.000004	0.010768	0.022393	0.132118	0.005387	0.000005	0.000006	0.033138	0.000004	0.033142	0.088018	-0.054861	-2198121.658996	82	-1	0.129000	4.751678e-01,1.250499e-01,3.662474e-02,1.744614e-01,9.988701e-02,2.580466e-02,3.196388e-02,1.859779e-02,1.244287e-02	0.686662	0.242149	-0.068588	-2467251.946860	14
70	121	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP6_1317	1844063	0.938068	0.000000	0.000202	0.025925	0.000000	0.000000	0.000000	0.035805	0.000000	0.000202	0.035805	0.061730	0.000101	0.000000	0.000000	0.036007	0.000000	0.036007	0.048969	-0.012963	-2458518.204532	62	-1	0.143371	4.654653e-01,1.388719e-01,3.501343e-02,1.656531e-01,1.079392e-01,2.300841e-02,3.349197e-02,1.980884e-02,1.074779e-02	0.634667	0.259564	-0.051617	-2761010.723421	14
70	122	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP6_1604	2228962	0.960504	0.000000	0.020319	0.000000	0.000000	0.016011	0.000000	0.003166	0.000000	0.020320	0.019177	0.003166	0.010160	0.000000	0.000000	0.023485	0.000000	0.023485	0.031491	0.008006	-2969037.440595	110	-1	0.173296	4.533591e-01,1.650118e-01,2.681386e-02,1.507657e-01,1.205614e-01,1.821253e-02,3.232042e-02,2.259615e-02,1.035907e-02	0.490491	0.290006	0.003836	-3324650.428018	14
70	123	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP7_1126	1895300	0.947250	0.000000	0.000000	0.020015	0.000000	0.000000	0.000000	0.032735	0.000000	0.000000	0.032735	0.052750	0.000000	0.000000	0.000000	0.032735	0.000000	0.032735	0.042742	-0.010007	-2530382.535118	58	-1	0.147355	4.618602e-01,1.446190e-01,3.439249e-02,1.654721e-01,1.063628e-01,2.325348e-02,3.276428e-02,2.062231e-02,1.065329e-02	0.631393	0.252569	-0.049322	-2843749.849058	14
70	124	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP7_1250	1776062	0.956342	0.000000	0.007609	0.006807	0.000000	0.000000	0.000000	0.029242	0.000000	0.007609	0.029242	0.036049	0.003805	0.000000	0.000000	0.036851	0.000000	0.036851	0.040254	-0.003404	-2382855.669240	154	-1	0.138084	4.590895e-01,1.451932e-01,3.400127e-02,1.648515e-01,1.129796e-01,2.062802e-02,3.055578e-02,2.157421e-02,1.112683e-02	0.571404	0.271062	-0.027904	-2670781.968264	14
70	125	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP7_2419	2305655	0.951572	0.000000	0.024652	0.000000	0.000003	0.015403	0.000000	0.008367	0.000003	0.024657	0.023773	0.008373	0.012330	0.000003	0.000005	0.033019	0.000003	0.033022	0.040727	0.007701	-3098225.799297	50	-1	0.179259	4.525174e-01,1.645998e-01,2.948304e-02,1.469198e-01,1.213839e-01,1.942064e-02,3.141570e-02,2.306570e-02,1.119418e-02	0.501704	0.292559	-0.000693	-3462210.378093	14
70	126	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP8_1082	2267757	0.969294	0.000000	0.006918	0.000000	0.000000	0.003505	0.000000	0.020281	0.000002	0.006921	0.023787	0.020283	0.003461	0.000002	0.000002	0.027199	0.000002	0.027201	0.028954	0.001752	-3044578.400506	98	-1	0.176312	4.501339e-01,1.638837e-01,3.152454e-02,1.505992e-01,1.190982e-01,1.850028e-02,3.352166e-02,2.239085e-02,1.034770e-02	0.546156	0.283284	-0.018522	-3402901.591716	14
70	127	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP8_1246	1641392	0.862396	0.000000	0.000015	0.111983	0.000000	0.000000	0.000000	0.025606	0.000000	0.000015	0.025606	0.137589	0.000007	0.000000	0.000000	0.025621	0.000000	0.025621	0.081612	-0.055991	-2189992.389825	46	-1	0.127614	4.666257e-01,1.297990e-01,4.011071e-02,1.762204e-01,9.756955e-02,2.626604e-02,3.483146e-02,1.723988e-02,1.133731e-02	0.768090	0.229863	-0.096050	-2455498.231126	14
70	128	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP8_2067	2342427	0.963870	0.000012	0.010575	0.000000	0.000001	0.010925	0.000000	0.014617	0.000000	0.010582	0.025542	0.014618	0.005291	0.000000	0.000001	0.025191	0.000000	0.025191	0.030661	0.005463	-3171985.438060	66	-1	0.182118	4.436348e-01,1.718439e-01,3.143499e-02,1.469156e-01,1.204142e-01,1.949366e-02,3.335660e-02,2.166544e-02,1.124075e-02	0.538073	0.283521	-0.015263	-3539628.498786	14
70	129	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP9_1078	2313765	0.974717	0.000000	0.000000	0.000000	0.000000	0.009388	0.000000	0.015894	0.000000	0.000000	0.025282	0.015894	0.000000	0.000000	0.000000	0.015894	0.000000	0.015894	0.020589	0.004694	-3099948.922186	62	-1	0.179889	4.450868e-01,1.690653e-01,3.208922e-02,1.534831e-01,1.144995e-01,1.911440e-02,3.483569e-02,2.272173e-02,9.104275e-03	0.584500	0.265469	-0.032610	-3470757.070495	14
70	130	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP9_1331	1663575	0.891349	0.000000	0.000153	0.080607	0.000000	0.000000	0.000000	0.027891	0.000000	0.000153	0.027891	0.108498	0.000076	0.000000	0.000000	0.028044	0.000000	0.028044	0.068347	-0.040304	-2235679.986081	102	-1	0.129339	4.649698e-01,1.349612e-01,3.718390e-02,1.732502e-01,1.010556e-01,2.521047e-02,3.332274e-02,1.829638e-02,1.174974e-02	0.697701	0.239341	-0.072148	-2501608.959955	14
70	131	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP9_2009	2208867	0.952600	0.000000	0.025287	0.000000	0.000000	0.000118	0.000000	0.021987	0.000007	0.025294	0.022112	0.021994	0.012650	0.000007	0.000007	0.047274	0.000007	0.047281	0.047340	0.000059	-2972850.862201	62	-1	0.171734	4.523866e-01,1.612935e-01,3.118554e-02,1.500967e-01,1.201237e-01,1.988612e-02,3.119295e-02,2.153775e-02,1.229710e-02	0.519285	0.289321	-0.007812	-3318660.656806	14
71	72	Mcapitata_HTAC_TP11_2380	Mcapitata_HTAC_TP1_1579	2498069	0.970730	0.000000	0.014650	0.000000	0.000000	0.000025	0.000000	0.014595	0.000000	0.014650	0.014620	0.014595	0.007325	0.000000	0.000000	0.029245	0.000000	0.029245	0.029257	0.000013	-3390406.531412	526	-1	0.194218	4.413201e-01,1.574603e-01,3.099168e-02,1.630097e-01,1.217313e-01,1.931956e-02,3.271759e-02,2.216313e-02,1.128663e-02	0.523360	0.285981	-0.009394	-3775621.833601	14
71	73	Mcapitata_HTAC_TP11_2380	Mcapitata_HTAC_TP1_2153	2487985	0.974682	0.000001	0.014972	0.000000	0.000000	0.000017	0.000000	0.010324	0.000003	0.014976	0.010344	0.010327	0.007490	0.000003	0.000003	0.025296	0.000003	0.025300	0.025309	0.000008	-3376433.549035	74	-1	0.193434	4.390359e-01,1.588933e-01,3.145288e-02,1.600734e-01,1.255812e-01,1.899283e-02,3.304839e-02,2.186231e-02,1.105976e-02	0.513622	0.295957	-0.005600	-3764526.926396	14
71	74	Mcapitata_HTAC_TP11_2380	Mcapitata_HTAC_TP12_1632	2516143	0.977443	0.000000	0.018996	0.000000	0.000000	0.003561	0.000000	0.000000	0.000000	0.018996	0.003561	0.000000	0.009498	0.000000	0.000000	0.018996	0.000000	0.018996	0.020777	0.001781	-3455179.894439	102	-1	0.195624	4.040983e-01,2.121518e-01,1.530302e-02,1.382512e-01,1.538613e-01,1.037456e-02,2.653690e-02,3.298700e-02,6.435885e-03	0.271933	0.353213	0.100047	-3792209.043500	14
71	75	Mcapitata_HTAC_TP11_2380	Mcapitata_HTAC_TP12_1729	2316847	0.956880	0.000002	0.028213	0.000128	0.000000	0.000000	0.000000	0.014778	0.000000	0.028214	0.014778	0.014905	0.014107	0.000000	0.000000	0.042990	0.000000	0.042991	0.043055	-0.000064	-3119932.965781	258	-1	0.180129	4.499136e-01,1.476927e-01,2.938060e-02,1.659475e-01,1.208998e-01,2.094703e-02,3.180145e-02,2.124055e-02,1.217673e-02	0.506056	0.289921	-0.002450	-3477550.367300	14
71	76	Mcapitata_HTAC_TP11_2380	Mcapitata_HTAC_TP1_2183	2142930	0.918557	0.000000	0.012453	0.042407	0.000000	0.000002	0.000000	0.026578	0.000004	0.012457	0.026583	0.068989	0.006230	0.000004	0.000004	0.039030	0.000004	0.039034	0.060239	-0.021203	-2922200.170567	74	-1	0.166607	4.513188e-01,1.381930e-01,3.637821e-02,1.738719e-01,1.124451e-01,2.292970e-02,3.364108e-02,1.849154e-02,1.273074e-02	0.622697	0.265510	-0.047708	-3251358.664655	18
71	77	Mcapitata_HTAC_TP11_2380	Mcapitata_HTAC_TP12_2007	2238597	0.978329	0.000002	0.002996	0.000002	0.000000	0.000000	0.000000	0.018670	0.000001	0.002998	0.018671	0.018673	0.001500	0.000001	0.000001	0.021666	0.000001	0.021667	0.021669	-0.000001	-3046741.156934	234	-1	0.174045	4.397597e-01,1.524163e-01,3.310734e-02,1.689526e-01,1.187313e-01,2.213958e-02,3.247747e-02,2.150183e-02,1.091396e-02	0.552380	0.275738	-0.020645	-3396957.118328	14
71	78	Mcapitata_HTAC_TP11_2380	Mcapitata_HTAC_TP3_1289	2225902	0.947611	0.000002	0.030737	0.006690	0.000000	0.000000	0.000000	0.014960	0.000000	0.030738	0.014961	0.021651	0.015369	0.000000	0.000000	0.045697	0.000000	0.045697	0.049043	-0.003345	-2990633.685286	50	-1	0.173058	4.527253e-01,1.435589e-01,2.951071e-02,1.688447e-01,1.184047e-01,2.240507e-02,3.008637e-02,2.147205e-02,1.299222e-02	0.503334	0.284710	-0.001331	-3329941.298114	14
